createdTime,name,type,label,id.entityType,id.id,additionalInfo.gateway,additionalInfo.description,tenantId.entityType,tenantId.id,customerId.entityType,customerId.id
1606835295299,TB-00028,tracker,,DEVICE,0964b930-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835284591,TB-00026,tracker,,DEVICE,0302cff0-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835290205,TB-00027,tracker,,DEVICE,065b70d0-33e7-11eb-bd40-4d7b08a3f668,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835315979,TB-00030,tracker,,DEVICE,15b83db0-33e7-11eb-832b-072ca1bf4b1d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835322040,TB-00031,tracker,,DEVICE,19551380-33e7-11eb-832b-072ca1bf4b1d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835330096,TB-00032,tracker,,DEVICE,1e225300-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835337331,TB-00033,tracker,,DEVICE,22724c30-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835343812,TB-00034,tracker,,DEVICE,264f3840-33e7-11eb-9401-e1431269b39d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835349608,TB-00035,tracker,,DEVICE,29c39e80-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835355969,TB-00036,tracker,,DEVICE,2d8e3b10-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835362652,TB-00037,tracker,,DEVICE,3189f9c0-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835370962,TB-00038,tracker,,DEVICE,367dfb20-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835383857,TB-00039,tracker,,DEVICE,3e2d9a10-33e7-11eb-832b-072ca1bf4b1d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835457044,TB-00040,tracker,,DEVICE,69cd0d40-33e7-11eb-832b-072ca1bf4b1d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,e9367630-34a9-11eb-832b-072ca1bf4b1d
1606835462553,TB-00041,tracker,,DEVICE,6d15a890-33e7-11eb-9401-e1431269b39d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606835468918,TB-00042,tracker,,DEVICE,70e0e160-33e7-11eb-832b-072ca1bf4b1d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606835475736,TB-00043,tracker,,DEVICE,74f13980-33e7-11eb-832b-072ca1bf4b1d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606835481487,TB-00044,tracker,,DEVICE,785ec1f0-33e7-11eb-832b-072ca1bf4b1d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606835489157,TB-00045,tracker,,DEVICE,7cf11b50-33e7-11eb-9401-e1431269b39d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606835495873,TB-00046,tracker,,DEVICE,80f1e310-33e7-11eb-bd40-4d7b08a3f668,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606835501549,TB-00047,tracker,,DEVICE,8453f9d0-33e7-11eb-bd40-4d7b08a3f668,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606835509085,TB-00048,tracker,,DEVICE,88d1e0d0-33e7-11eb-891e-b1085e72b112,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606835517325,TB-00049,tracker,,DEVICE,8dbb33d0-33e7-11eb-bd40-4d7b08a3f668,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
1606837156708,TB-00050,tracker,,DEVICE,5ee13240-33eb-11eb-9401-e1431269b39d,False,,TENANT,8e7e0750-30b5-11eb-8cef-a56b9f56a168,CUSTOMER,13814000-1dd2-11b2-8080-808080808080
